,open,high,low,close,volume
2022-05-04 18:00:00-04:00,329.3,329.9,319.2001,329.11,0
2022-05-04 19:00:00-04:00,329.1,329.4,328.99,329.25,0
2022-05-05 04:00:00-04:00,327.76,329.27,327.15,327.21,0
2022-05-05 05:00:00-04:00,327.21,327.5,326.02,326.99,0
2022-05-05 06:00:00-04:00,327.0,327.71,326.58,327.62,0
2022-05-05 07:00:00-04:00,327.58,327.77,326.81,326.84,0
2022-05-05 08:00:00-04:00,326.82,329.99,326.26,327.3,0
2022-05-05 09:00:00-04:00,327.33,329.6,324.94,325.08,0
2022-05-05 09:30:00-04:00,325.1700134277344,325.25,316.9599914550781,317.1600036621094,30689825
2022-05-05 10:30:00-04:00,317.1300048828125,317.489990234375,313.75,314.7799987792969,22477132
2022-05-05 11:30:00-04:00,314.760009765625,316.44000244140625,311.8900146484375,314.4599914550781,17752405
2022-05-05 12:30:00-04:00,314.4200134277344,315.9849853515625,312.57000732421875,314.3900146484375,13697886
2022-05-05 13:30:00-04:00,314.3599853515625,315.2550048828125,311.6199951171875,311.6400146484375,12871145
